amount,fraud_flag,risk_score,timestamp,amount_category
364.19,1,3,41505.0,high
520.12,0,3,44261.0,very_high
31.0,0,0,35484.0,medium
1.5,0,0,167123.0,low
0.89,0,0,168473.0,low
100.0,0,0,67878.0,high
16.99,0,0,159763.0,medium
8.95,0,0,139631.0,low
10.0,0,0,133944.0,low
101.49,0,0,58769.0,high
43.5,0,0,81055.0,medium
21.61,0,0,149357.0,medium
156.0,0,0,157885.0,high
42.0,0,0,66315.0,medium
1.0,0,0,111116.0,low
8.54,0,0,153290.0,low
0.89,0,0,52913.0,low
26.47,0,0,162837.0,medium
76.0,0,0,34118.0,high
22.7,0,0,55575.0,medium
45.85,0,0,136177.0,medium
1.0,0,0,158143.0,low
7.32,0,0,171766.0,low
24.0,0,0,146635.0,medium
281.94,0,0,39394.0,high
109.0,0,0,144267.0,high
87.0,0,0,63920.0,high
21.99,0,0,18489.0,medium
21.95,0,0,49848.0,medium
93.95,0,0,80768.0,high
37.73,0,0,42272.0,medium
1.79,0,0,95462.0,low
3502.11,0,5,141655.0,very_high
101.19,0,0,43985.0,high
40.0,0,0,73196.0,medium
9.99,0,0,135851.0,low
113.94,0,0,154924.0,high
35.98,0,0,130672.0,medium
29.95,0,0,162535.0,medium
82.0,0,0,145406.0,high
7.53,0,0,159236.0,low
10.0,0,0,90538.0,low
69.0,0,0,52840.0,high
247.24,0,0,144172.0,high
1170.0,0,4,31944.0,very_high
444.81,0,3,69334.0,high
10.83,0,0,73303.0,medium
9.99,0,0,123587.0,low
11.5,0,0,71421.0,medium
12.31,0,0,36721.0,medium
1.98,0,0,147600.0,low
1.0,0,0,56803.0,low
375.42,0,3,127361.0,high
1.0,0,0,90602.0,low
1.79,0,0,80283.0,low
17.1,0,0,62459.0,medium
228.28,0,0,82815.0,high
1.82,0,0,114534.0,low
0.0,0,0,27255.0,
12.74,0,0,94330.0,medium
34.99,0,0,58084.0,medium
150.92,0,0,38671.0,high
0.89,0,0,35181.0,low
186.9,0,0,147172.0,high
8.0,0,0,34897.0,low
377.6,0,3,150447.0,high
8.99,0,0,150609.0,low
53.5,0,0,43994.0,high
7.3,0,0,25208.0,low
228.61,0,0,58476.0,high
123.5,0,0,137877.0,high
9.95,0,0,123191.0,low
0.89,0,0,58929.0,low
1.29,0,0,69183.0,low
21.01,0,0,68038.0,medium
197.16,0,0,149281.0,high
26.88,0,0,45102.0,medium
5.55,0,0,64496.0,low
5.9,0,0,145532.0,low
167.96,0,0,141036.0,high
0.89,0,0,167274.0,low
0.76,0,0,54263.0,low
11.5,0,0,148090.0,medium
8.0,0,0,10765.0,low
380.0,0,3,38238.0,high
15.56,0,0,33184.0,medium
17.33,0,0,42145.0,medium
25.17,0,0,58734.0,medium
118.0,0,0,139063.0,high
1.0,0,0,137744.0,low
0.89,0,0,63641.0,low
101.0,0,0,137041.0,high
29.0,0,0,126570.0,medium
107.21,0,0,161783.0,high
36.72,0,0,127961.0,medium
5.0,0,0,19914.0,low
7.2,0,0,155683.0,low
40.0,0,0,114924.0,medium
10.0,0,0,142403.0,low
8.98,0,0,88120.0,low
24.5,0,0,12012.0,medium
0.76,0,0,147493.0,low
4.37,0,0,62568.0,low
2.31,0,0,1657.0,low
270.3,0,0,170786.0,high
16.0,0,0,145811.0,medium
15.0,0,0,42715.0,medium
3.99,0,0,114663.0,low
48.2,0,0,38503.0,medium
104.1,0,0,140488.0,high
0.76,0,0,153525.0,low
69.95,0,0,57046.0,high
514.93,0,3,152569.0,very_high
5.99,0,0,120733.0,low
117.0,0,0,161513.0,high
132.1,0,0,75910.0,high
77.75,0,0,32367.0,high
15.99,0,0,125266.0,medium
119.71,0,0,51462.0,high
53.8,0,0,35059.0,high
65.41,0,0,138712.0,high
4.99,0,0,155373.0,low
0.99,0,0,87941.0,low
100.0,0,0,60926.0,high
28.75,0,0,117045.0,medium
0.76,0,0,77563.0,low
